[SUCCESS] Carved BMP file: 'result/00388000.bmp', Offset: 0x00388000, Size: 263224bytes, Carved Length: 263224bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00409000.bmp', Offset: 0x00409000, Size: 787512bytes, Carved Length: 787512bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/004ca000.bmp', Offset: 0x004ca000, Size: 11966bytes, Carved Length: 11966bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/004cd000.bmp', Offset: 0x004cd000, Size: 346854bytes, Carved Length: 346854bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00522000.bmp', Offset: 0x00522000, Size: 394294bytes, Carved Length: 394294bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00583000.bmp', Offset: 0x00583000, Size: 80708bytes, Carved Length: 80708bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00597000.bmp', Offset: 0x00597000, Size: 1178062bytes, Carved Length: 1178062bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/006b7000.bmp', Offset: 0x006b7000, Size: 234318bytes, Carved Length: 234318bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/006f1000.bmp', Offset: 0x006f1000, Size: 203578bytes, Carved Length: 203578bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00723000.bmp', Offset: 0x00723000, Size: 66296bytes, Carved Length: 66296bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00734000.bmp', Offset: 0x00734000, Size: 66296bytes, Carved Length: 66296bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00745000.bmp', Offset: 0x00745000, Size: 163448bytes, Carved Length: 163448bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/0076d000.bmp', Offset: 0x0076d000, Size: 163448bytes, Carved Length: 163448bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00795000.bmp', Offset: 0x00795000, Size: 163448bytes, Carved Length: 163448bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/007bd000.bmp', Offset: 0x007bd000, Size: 263222bytes, Carved Length: 263222bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/007fe000.bmp', Offset: 0x007fe000, Size: 80742bytes, Carved Length: 80742bytes, Cluster Alignment: Aligned
[SUCCESS] Carved BMP file: 'result/00812000.bmp', Offset: 0x00812000, Size: 69974bytes, Carved Length: 69974bytes, Cluster Alignment: Aligned
